 #    i     x              ref(x)   imf(x)    k   th(k)    reF(k)    imF(k)    reF-1(x)   imF-1(x)
      0  -20.000       400.0000       0.000000        0.000       133.3333       133.3336       0.000000       400.0000     -0.2865784E-30
      1  -19.961       398.4390       0.000000       0.1571      -81.05695       81.05720     -0.1370432E-15   398.4390      0.1873501E-14
      2  -19.922       396.8811       0.000000       0.3142       20.26424       20.26449     -0.1266348E-15   396.8811      0.6050715E-14
      3  -19.883       395.3262       0.000000       0.4712      -9.006327       9.006582      0.4362830E-15   395.3262     -0.1545986E-13
      4  -19.844       393.7744       0.000000       0.6283       5.066059       5.066314      0.2398255E-15   393.7744     -0.7244205E-14
      5  -19.805       392.2256       0.000000       0.7854      -3.242278       3.242532      0.4219715E-15   392.2256     -0.8881784E-14
      6  -19.766       390.6799       0.000000       0.9425       2.251582       2.251836      0.1474515E-16   390.6799     -0.5745404E-14
      7  -19.727       389.1373       0.000000        1.100      -1.654223       1.654478     -0.9367507E-16   389.1373      0.6522560E-14
      8  -19.688       387.5977       0.000000        1.257       1.266515       1.266769     -0.1214306E-16   387.5977      0.2386980E-14
      9  -19.648       386.0611       0.000000        1.414      -1.000703       1.000957      0.3484626E-15   386.0611      0.1026956E-14
     10  -19.609       384.5276       0.000000        1.571      0.8105695      0.8108238      0.1971080E-15   384.5276     -0.8548717E-14
     11  -19.570       382.9971       0.000000        1.728     -0.6698921      0.6701465     -0.6722053E-16   382.9971      0.2164935E-14
     12  -19.531       381.4697       0.000000        1.885      0.5628955      0.5631498      0.6418477E-16   381.4697      0.2678413E-14
     13  -19.492       379.9454       0.000000        2.042     -0.4796269      0.4798813     -0.3496552E-15   379.9454      0.1685457E-13
     14  -19.453       378.4241       0.000000        2.199      0.4135559      0.4138103      0.1343326E-15   378.4241     -0.2235712E-13
     15  -19.414       376.9058       0.000000        2.356     -0.3602531      0.3605075     -0.1856290E-14   376.9058      0.2989796E-14
     16  -19.375       375.3906       0.000000        2.513      0.3166287      0.3168831     -0.3035766E-17   375.3906      0.4440892E-14
     17  -19.336       373.8785       0.000000        2.670     -0.2804739      0.2807283     -0.1703770E-14   373.8785      0.5111363E-14
     18  -19.297       372.3694       0.000000        2.827      0.2501758      0.2504302      0.5334275E-16   372.3694      0.6189493E-14
     19  -19.258       370.8633       0.000000        2.985     -0.2245345      0.2247890     -0.3395721E-15   370.8633     -0.1405126E-13
     20  -19.219       369.3604       0.000000        3.142      0.2026424      0.2028969      0.7979728E-16   369.3604     -0.2912948E-13
     21  -19.180       367.8604       0.000000        3.299     -0.1838026      0.1840571     -0.3816392E-16   367.8604      0.1085243E-13
     22  -19.141       366.3635       0.000000        3.456      0.1674730      0.1677276      0.8847090E-16   366.3635      0.1276756E-13
     23  -19.102       364.8697       0.000000        3.613     -0.1532267      0.1534813      0.4883247E-15   364.8697     -0.1443290E-13
     24  -19.062       363.3789       0.000000        3.770      0.1407239      0.1409785     -0.1734723E-16   363.3789      0.2414735E-14
     25  -19.023       361.8912       0.000000        3.927     -0.1296911      0.1299457      0.1960238E-15   361.8912      0.1360023E-14
     26  -18.984       360.4065       0.000000        4.084      0.1199067      0.1201614      0.1110223E-15   360.4065      0.5606626E-14
     27  -18.945       358.9249       0.000000        4.241     -0.1111892      0.1114439      0.1249001E-15   358.9249     -0.1859624E-14
     28  -18.906       357.4463       0.000000        4.398      0.1033890      0.1036437      0.3469447E-16   357.4463      0.9686696E-14
     29  -18.867       355.9708       0.000000        4.555     -0.9638163E-01  0.9663634E-01 -0.1804112E-15   355.9708     -0.3799738E-13
     30  -18.828       354.4983       0.000000        4.712      0.9006327E-01  0.9031802E-01  0.5551115E-16   354.4983      0.3996803E-14
     31  -18.789       353.0289       0.000000        4.869     -0.8434646E-01  0.8460123E-01  0.2109424E-14   353.0289      0.7133183E-14
     32  -18.750       351.5625       0.000000        5.027      0.7915717E-01  0.7941198E-01   0.000000       351.5625      0.3678955E-15
     33  -18.711       350.0992       0.000000        5.184     -0.7443246E-01  0.7468729E-01 -0.8388570E-15   350.0992      0.1285437E-13
     34  -18.672       348.6389       0.000000        5.341      0.7011847E-01  0.7037333E-01 -0.4588555E-15   348.6389      0.7733464E-14
     35  -18.633       347.1817       0.000000        5.498     -0.6616894E-01  0.6642384E-01 -0.1604535E-15   347.1817     -0.2191656E-13
     36  -18.594       345.7275       0.000000        5.655      0.6254394E-01  0.6279888E-01  0.8467829E-16   345.7275     -0.3317060E-14
     37  -18.555       344.2764       0.000000        5.812     -0.5920887E-01  0.5946384E-01  0.9256533E-16   344.2764     -0.7365569E-14
     38  -18.516       342.8284       0.000000        5.969      0.5613362E-01  0.5638863E-01 -0.2325718E-16   342.8284     -0.2432149E-14
     39  -18.477       341.3834       0.000000        6.126     -0.5329188E-01  0.5354692E-01  0.3180238E-15   341.3834      0.3805782E-14
     40  -18.438       339.9414       0.000000        6.283      0.5066059E-01  0.5091567E-01 -0.1251510E-16   339.9414      0.1620926E-13
     41  -18.398       338.5025       0.000000        6.440     -0.4821948E-01  0.4847460E-01  0.3667279E-15   338.5025      0.6838213E-14
     42  -18.359       337.0667       0.000000        6.597      0.4595065E-01  0.4620581E-01  0.3706056E-16   337.0667     -0.4367967E-14
     43  -18.320       335.6339       0.000000        6.754     -0.4383826E-01  0.4409346E-01 -0.1328721E-15   335.6339     -0.1363506E-13
     44  -18.281       334.2041       0.000000        6.912      0.4186826E-01  0.4212350E-01  0.3014082E-16   334.2041      0.3209037E-14
     45  -18.242       332.7774       0.000000        7.069     -0.4002812E-01  0.4028341E-01 -0.8356017E-16   332.7774      0.5866902E-14
